# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.04800459989843083,0.0,0.14357478009301575,6.965011538601307,0.0,0.0
 0.06914112285383932,0.011951237173724252,0.17285280713459827,2.4999999999999996,0.04800459989843083,0.0,0.14357478009301575,6.965011538601307,0.0,0.0
 0.0975812265569912,0.023805239440917104,0.41680587352707615,8.577783996105532,0.14591828668851475,0.0,0.148752970270604,6.722554838272135,3.4428034374302445,121.05453177544831
 0.1192685042819181,0.03556244028411479,0.5421243270972734,5.778431722030233,0.24653646634598272,0.0,0.1540953562424214,6.489488225893123,4.639502520033649,55.17977395696575
 0.13743838656888197,0.04722327525664359,0.6417672271270004,5.483959579706061,0.3499155582081585,0.0,0.15960725352696759,6.265379410410303,5.689585118355222,57.792482182174815
 0.1533469035313038,0.0587881820565975,0.7269632252504644,5.3553702287088685,0.4561132106368607,0.0,0.16529414883600946,6.049820922530739,6.675521840254248,61.975401241231154
 0.16763961417649767,0.07025760060311251,0.8024662942695042,5.282627689970682,0.5651883256206041,0.0,0.17116170540935538,5.842428349310791,7.63152054858268,66.88715192383057
 0.18070082801690893,0.08163197311499126,0.870851105483517,5.2357163774802356,0.6772010834767715,0.0,0.17721576742564182,5.642838752593452,8.575983765735554,72.31052402118355
 0.19278147648751331,0.09291174419176415,0.9337057612610564,5.202920681822875,0.7922129676307053,0.0,0.18346236499356228,5.450709196052772,9.52034027260954,78.17101119793954
 0.20405622842466595,0.10409736089724866,0.9920942622804498,5.178694958865681,0.9102867894790189,0.0,0.18990771910275908,5.2657153944274375,10.472409726305013,84.44260760702048
 0.21465253117135824,0.11518927284567734,1.0467718989900598,5.16006743264088,1.0314867131635477,0.0,0.19655824601114488,5.087550485891596,11.43794459084913,91.11997718690253
 0.22466680421502244,0.12618793229047812,1.0982983384659528,5.145300038377979,1.1558782803758596,0.0,0.2034205623468857,4.915923879390011,12.421427563432733,98.20812437362399
 0.23417411831009405,0.13709379421577486,1.147102306312791,5.133307615463879,1.2835284349565548,0.0,0.21050148974278707,4.750560203739677,13.426521234516315,105.71794105388855
 0.2432343038559223,0.14790731643068789,1.193521055415041,5.123377315779539,1.4145055473936794,0.0,0.21780805953497753,4.591198333684302,14.45633886575677,113.66407741115555
 0.2518959782660384,0.15862895966651122,1.2378257053048984,5.1150213910272795,1.5488794389950677,0.0,0.22534751731033525,4.437590491058569,15.513616102269028,122.0638396748612
 0.260199298751438,0.16925918767685025,1.2802381925436939,5.107894764916358,1.6867214057764466,0.0,0.2331273271495295,4.289501416359451,16.600824576596466,130.9365905169099
 0.2681779016554478,0.1797984673407976,1.3209430010172107,5.10174637881274,1.828104241921103,0.0,0.24115517616660495,4.146707592579883,17.720249753700813,140.3034078236626
 0.2758603043348076,0.19024726876923173,1.360095514975639,5.096389188712889,1.9731022627345598,0.0,0.24943897857108593,4.008996531851243,18.87404590272523,150.18688777201154
 0.28327094126600105,0.20060606541431553,1.3978281140020161,5.0916809684131294,2.1217913270064175,0.0,0.25798687935764464,3.8761661154624454,20.06427593908755,160.6110307944402
 0.290430944757813,0.21087533418228954,1.4342547150595337,5.087511633084314,2.274248858646703,0.0,0.26680725801001764,3.7480239760286196,21.292940962198333,171.60117652398657
 0.2973587433048741,0.22105555554963502,1.4694742201567206,5.083794636627764,2.430553867491633,0.0,0.2759087319512285,3.6243869229074157,22.562002602000742,183.1839697966916
 0.3040705271365155,0.231147213682696,1.503573176103472,5.080460992500776,2.5907869691772185,0.0,0.2853001591004581,3.5050804147917995,23.873400232319423,195.38734607875097
 0.31058061533898074,0.2411507965608498,1.5366278561887472,5.077455029373949,2.755030403874592,0.0,0.29499064069115194,3.389938059244991,25.229064428831894,208.2405267564748
 0.31690174887703126,0.25106679610330246,1.5687059105400258,5.074731321238894,2.923368053848934,0.0,0.3049895232121809,3.2788011518162903,26.63092765894301,221.77402544535644
 0.3230453270360721,0.2608957082996069,1.5998676897827573,5.072252429453369,3.095885459515853,0.0,0.31530639984841075,3.1715182453663107,28.080932837656484,236.0196519319387
 0.3290216001079446,0.2706380333439805,1.6301673178600353,5.069987216595558,3.2726698340216323,0.0,0.32595111135091986,3.0679447474667367,29.58104028710119,251.01052636048337
 0.33483982784221555,0.28029427577351135,1.6596535698754045,5.067909570071856,3.453810075972272,0.0,0.33693374631105916,2.967942543448273,31.133233387148916,266.7810836803257
 0.3405084108273015,0.28986494461033574,1.6883705966737828,5.065997423682939,3.6393967802463525,0.0,0.34826464043941585,2.871379646059589,32.739523221651716,283.3670846363106
 0.34603500025741485,0.29935055350787265,1.716358527711791,5.06423199912539,3.8295222465844443,0.0,0.3599543752882615,2.7781298649284984,34.40195236905662,300.80561771906594
 0.3514265902866146,0.30875162090119007,1.7436539763600625,5.062597211665741,4.024280485787522,0.0,0.3720137754616558,2.6880725015062565,36.12259799953391,319.1351013631632
 0.3566895962382937,0.3180686701615923,1.7702904663122614,5.06107920012912,4.22376722319474,0.0,0.3844539055222426,2.6010920571650815,37.90357435251862,338.39527626156416
 0.36182992123675783,0.3273022297554958,1.7962987936876338,5.059665951694386,4.428079899272922,0.0,0.39728606490513535,2.517077965568165,39.747034699018,358.6271971227874
 0.3668530132942433,0.3364528334076655,1.8217073363275138,5.058347000034754,4.637317666947246,0.0,0.4105217821698291,2.435924336863346,41.65517280586481,379.87321056624495
